#separator:pipe
#html:false
#deck:JLPT N1 漢字
#notetype:Ikoma Kanji
亜熱帯|あねったい|subtropical|あの国は{{c1::亜熱帯}}気候だ。
選択|せんたく|selection|三つのコースから一つを{{c1::選択}}する。
採択|さいたく|adoption (e.g. of a policy)|その法案は国会で{{c1::採択}}された。
光沢|こうたく|gloss, shine|この布は美しい{{c1::光沢}}がある。
沢|さわ|stream, swamp|{{c1::沢}}の水は澄んでいてきれいだ。
食卓|しょくたく|dining table|家族そろって{{c1::食卓}}を囲む。
卓越|たくえつ|excellence|彼は数学に{{c1::卓越}}した才能を持っている。
開拓精神|かいたくせいしん|pioneering spirit|彼は強い{{c1::開拓精神}}を持っている。
託児所|たくじしょ|daycare center|子どもを{{c1::託児所}}に預けた。
委託|いたく|consignment, trust|調査を外部に{{c1::委託}}した。
承諾|しょうだく|consent|妻の{{c1::承諾}}なしには返事できない。
許諾|きょだく|authorization, permission|裁判所の{{c1::許諾}}を得る必要がある。
濁流|だくりゅう|muddy stream|橋が{{c1::濁流}}に流された。
濁って|にごって|to become muddy|台風の後、川の水が{{c1::濁って}}いた。
叩き起こされた|たたきおこされた|to be woken up violently|夜中に{{c1::叩き起こされた}}。
叩く|たたく|to hit|子どもがおもちゃを叩いて遊んでいる。
脱退|だったい|withdrawal (from a group)|彼はクラブを{{c1::脱退}}した。
脱げて|ぬげて|to come off (clothes)|この靴はすぐ{{c1::脱げて}}しまう。
争奪戦|そうだつせん|scramble, competition|人気商品の{{c1::争奪戦}}が始まった。
奪われた|うばわれた|to be stolen, taken|財布を{{c1::奪われた}}。
棚|たな|shelf|{{c1::棚}}の上に箱を置いた。
本棚|ほんだな|bookshelf|新しい{{c1::本棚}}を買った。
溜める|ためる|to store, to accumulate|バケツに水を{{c1::溜める}}。
誰|だれ|who|このジャケットは{{c1::誰}}の物ですか。
丹精|たんせい|devoted care|このバラは父が{{c1::丹精}}こめて世話したものだ。
大胆|だいたん|bold|彼女は{{c1::大胆}}なデザインの洋服を好む。
落胆|らくたん|disappointment|不合格との知らせを聞いて{{c1::落胆}}した。
冷淡|れいたん|indifferent|彼は{{c1::冷淡}}な人だ。
淡水魚|たんすいぎょ|freshwater fish|金魚は{{c1::淡水魚}}だ。
淡い|あわい|light (color)|私は{{c1::淡い}}色が好きだ。
嘆息|たんそく|sigh (with emotion)|友人は、人生のままならなさを{{c1::嘆息}}した。
嘆く|なげく|lament|自分の人生の幸を{{c1::嘆く}}。
先端|せんたん|cutting-edge|ファッションの{{c1::先端}}をいく。
道端|みちばた|roadside|{{c1::道端}}に野菊が咲いている。
中途半端|ちゅうとはんぱ|half-hearted|彼は{{c1::中途半端}}な人だ。
誕生日|たんじょうび|birthday|夫が{{c1::誕生日}}のプレゼントをくれた。
生誕|せいたん|birth|今年は聖人の{{c1::生誕}}五百年にあたる。
鍛錬|たんれん|discipline|祖父は{{c1::鍛錬}}してきたので、体も丈夫だ。
鍛え上げられた|きたえあげられた|trained (thoroughly)|彼は厳しい練習で、{{c1::鍛え上げられた}}。
一旦|いったん|once/temporarily|{{c1::一旦}}、家に帰ってから出かけよう。
旦那様|だんなさま|husband (formal)|{{c1::旦那様}}もぜひどうぞ。
弾力|だんりょく|elasticity|ボールの{{c1::弾力}}が落ちて弾まなくなる。
弾まなく|はずまなく|not bounce|ボールが{{c1::弾まなく}}なった。
弾く|ひく|to play (instrument)|ピアノを{{c1::弾く}}。
弾|たま|bullet|{{c1::弾}}にあたる。
花壇|かだん|flower bed|{{c1::花壇}}に花を植える。
土壇場|どたんば|last moment|{{c1::土壇場}}で逆転された。
一致|いっち|agreement|意見が{{c1::一致}}した。
致す|いたす|to do (humble)|このような結果は私の未熟の{{c1::致す}}ところだ。
幼稚園|ようちえん|kindergarten|この子は来年から{{c1::幼稚園}}に通う。
ご馳走|ごちそう|feast|我が家ですき焼きは{{c1::ご馳走}}だ。
逐一連絡|ちくいちらんらく|report in detail|経過を{{c1::逐一連絡}}してください。
貯蓄|ちょちく|savings|今後のために{{c1::貯蓄}}は必要だ。
蓄える|たくわえる|store/save|アリが巣の中に餌を{{c1::蓄える}}。
秩序|ちつじょ|order|あなたの行動は会社の{{c1::秩序}}を乱す。
窒息|ちっそく|suffocation|赤ちゃんはうつぶせで寝かせると{{c1::窒息}}することがある。
沖天|ちゅうてん|soaring skyward|トビウオのジャンプは{{c1::沖天}}の勢いがあった。
沖|おき|offshore/open sea|{{c1::沖}}まで遠泳しよう。
忠誠|ちゅうせい|loyalty|上司に{{c1::忠誠}}をつくす。
忠告|ちゅうこく|advice|父親の{{c1::忠告}}に耳をかそうともしなかった。
抽選|ちゅうせん|lottery|{{c1::抽選}}で香港旅行が当たります。
抽象的|ちゅうしょうてき|abstract|{{c1::抽象的}}な表現では意見が伝わりません。
和洋折衷|わようせっちゅう|blend of Japanese and Western styles|{{c1::和洋折衷}}の創作料理が自慢だ。
鋳造|ちゅうぞう|casting (metal)|この製品はあの場で{{c1::鋳造}}される。
鋳り|い|to cast|鉄を{{c1::鋳り}}、あぶみを作る。
包丁|ほうちょう|kitchen knife|プロの料理人は{{c1::包丁}}を毎日研ぐ。
丁寧|ていねい|polite|あの人の話し方は{{c1::丁寧}}だ。
弔電|ちょうでん|condolence telegram|{{c1::弔電}}を打つ。
弔う|とむらう|to mourn|死者の冥福を{{c1::弔う}}。
挑戦|ちょうせん|challenge|もうひとつ上のレベルに{{c1::挑戦}}してみよう。
挑む|いどむ|to challenge|幅跳びの新記録に{{c1::挑む}}。
几帳面|きちょうめん|methodical|あの人は{{c1::几帳面}}だ。
手帳|てちょう|notebook|{{c1::手帳}}に書きこむ。
預金通帳|よきんつうちょう|bankbook|{{c1::預金通帳}}に記帳する。
記帳|きちょう|to write in a register|会議の内容を{{c1::記帳}}した。
自己主張|じこしゅちょう|self-assertion|あの人は{{c1::自己主張}}が強い。
張って|はって|to stretch|氷が{{c1::張って}}いる。
彫刻|ちょうこく|sculpture|あの{{c1::彫刻}}のモデルは誰だろう。
木彫り|きぼり|wood carving|北海道土産に{{c1::木彫り}}の熊をもらった。
眺望|ちょうぼう|view|ここからの{{c1::眺望}}は日本一だ。
眺めましょう|ながめましょう|let's gaze|一緒に景色を{{c1::眺めましょう}}。
釣魚大全|ちょうぎょたいぜん|The Compleat Angler|{{c1::釣魚大全}}を読んで釣りを始めた。
釣った|つった|caught (a fish)|まるで海老で鯛を{{c1::釣った}}ようだ。
胃腸|いちょう|stomach and intestines|私は{{c1::胃腸}}が弱い。
盲腸|もうちょう|appendix|これは{{c1::盲腸}}の手術跡だ。
跳馬|ちょうば|vaulting horse|体操の種目では{{c1::跳馬}}が好きだ。
跳ぶ|とぶ|to jump|とび箱を{{c1::跳ぶ}}。
跳ね出た|はねでた|leapt out|魚が水面上に{{c1::跳ね出た}}。
象徴|しょうちょう|symbol|天皇は日本の{{c1::象徴}}です。
特徴|とくちょう|feature|犯人の{{c1::特徴}}を言ってください。
干潮|かんちょう|low tide|{{c1::干潮}}の時刻を調べて、潮干狩りに行こう。
潮干狩り|しおひがり|clam digging|{{c1::潮干狩り}}に家族で出かけた。
潮|しお|tide|{{c1::潮}}が引くように流行が去った。
清澄|せいちょう|clear and serene|冬の夜空に{{c1::清澄}}な月が浮かんでいる。
澄ます|すます|to clear (one’s mind or ears)|耳を{{c1::澄ます}}と蛍の声が聞こえる。
聴診器|ちょうしんき|stethoscope|医者は{{c1::聴診器}}をあて、心音をきいた。
聴く|きく|to listen|部屋で好きなレコードを{{c1::聴く}}。
懲戒免職処分|ちょうかいめんしょくしょぶん|dismissal for disciplinary reasons|横領が発覚し、{{c1::懲戒免職処分}}になった。
懲らしめる|こらしめる|to punish|落書きした子を{{c1::懲らしめる}}。
蝶|ちょう|butterfly|{{c1::蝶}}や虫を集めて、昆虫採集の宿題を作る。
陳列|ちんれつ|display|このグラスは{{c1::陳列}}台の左はしにあった物です。
運賃|うんちん|fare|このバスの{{c1::運賃}}は先払いです。
賃金|ちんぎん|wages|{{c1::賃金}}を上げてくれるよう交渉した。
鎮痛剤|ちんつうざい|painkiller|頭が痛いので{{c1::鎮痛剤}}を飲んだ。
鎮まった|しずまった|subsided|嵐はすっかり{{c1::鎮まった}}。
鎮める|しずめる|to calm|詩の一節で心を{{c1::鎮める}}。
墜落|ついらく|crash|操縦ミスで飛行機が{{c1::墜落}}した。
失墜|しっつい|loss (of prestige)|威信を{{c1::失墜}}させる。
塚|つか|mound|散歩の途中でアリ{{c1::塚}}を見つけた。
アリ塚|ありづか|anthill|散歩の途中で{{c1::アリ塚}}を見つけた。
漬ける|つける|to pickle|キュウリをぬかみそに{{c1::漬ける}}。
漬かる|つかる|to be soaked|本が水に漬かってしまった。
呟く|つぶやく|to murmur|彼女は母国語で何かを呟いた。
坪|つぼ|tsubo (area unit)|{{c1::坪}}は土地や建物の面積を表す単位です。
壷|つぼ|pot|アンティークショップで苦い{{c1::壷}}を買った。
爪|つめ|nail|彼女は{{c1::爪}}をのばしている。
吊り革|つりかわ|hanging strap (in trains)|{{c1::吊り革}}につかまってください。
進呈|しんてい|presentation (of gift)|開店祝いに記念品を{{c1::進呈}}する。
呈する|ていする|to present|株式市場が活況を{{c1::呈する}}。
宮廷|きゅうてい|imperial court|博物館で昔の{{c1::宮廷}}の衣装を見た。
小法廷|しょうほうてい|small courtroom|その事件の裁判は{{c1::小法廷}}で開廷されます。
法廷|ほうてい|courtroom|裁判は小{{c1::法廷}}で開廷された。
開廷|かいてい|opening of court|裁判は小法廷で{{c1::開廷}}された。
抵当|ていとう|mortgage|土地を{{c1::抵当}}にして、銀行からお金を借りた。
抵抗|ていこう|resistance|侵略者に{{c1::抵抗}}する。
邸宅|ていたく|mansion|丘の上の大{{c1::邸宅}}は映画スターの物だ。
大邸宅|だいていたく|grand mansion|丘の上の{{c1::大邸宅}}は映画スターの物だ。
豪邸|ごうてい|luxurious residence|一等地に{{c1::豪邸}}が建つ。
料亭|りょうてい|traditional Japanese restaurant|あの{{c1::料亭}}で一度食事がしてみたい。
貞淑|ていしゅく|chaste/modest|{{c1::貞淑}}な女性と結婚する。
訂正|ていせい|correction|間違いを{{c1::訂正}}する。
改訂版|かいていばん|revised edition|その本の{{c1::改訂版}}が出た。
偵察|ていさつ|reconnaissance|敵の動きを{{c1::偵察}}する。
探偵小説|たんていしょうせつ|detective novel|面白いと評判の{{c1::探偵小説}}を読む。
堤防|ていぼう|embankment|{{c1::堤防}}沿いに歩いて帰ろう。
堤|つつみ|embankment (short form)|{{c1::堤}}が切れて川の水があふれ出した。
提携|ていけい|partnership|海外の企業と{{c1::提携}}することになった。
提げて|さげて|to carry in hand|箱からカバンを{{c1::提げて}}いた。
艇庫|ていこ|boathouse|川沿いに大学のボート部の{{c1::艇庫}}がある。
飛行艇|ひこうてい|flying boat|{{c1::飛行艇}}を発進させる。
締結|ていけつ|conclusion (of treaty, etc.)|条約を{{c1::締結}}した。
締める|しめる|to tighten|一人で帯を{{c1::締める}}。
取り締まる|とりしまる|to crack down on|飲酒運転を{{c1::取り締まる}}。
汽笛|きてき|steam whistle|{{c1::汽笛}}を鳴らす。
笛|ふえ|flute, whistle|{{c1::笛}}に合わせて体操をしている。
指摘|してき|pointing out|ミスを{{c1::指摘}}されてしまった。
摘んで|つんで|to pick (flowers, etc.)|セリを{{c1::摘んで}}きて、てんぷらにした。
敵意|てきい|hostility|犬が{{c1::敵意}}をむき出しにしてにらみ合っていた。
商売敵|しょうばいがたき|business rival|AとB店は{{c1::商売敵}}だ。
更迭|こうてつ|dismissal, reshuffling|汚職が発覚して大臣が{{c1::更迭}}された。
哲学|てつがく|philosophy|古今の{{c1::哲学}}を学ぶ。
哲学を学ぶ|てつがくをまなぶ|to study philosophy|大学で{{c1::哲学を学ぶ}}。
徹夜|てつや|staying up all night|{{c1::徹夜}}で試験勉強をした。
頑固一徹|がんこいってつ|stubborn and unyielding|父は{{c1::頑固一徹}}な性格だ。
撤去|てっきょ|removal|ここにある立て看板を{{c1::撤去}}してください。
百科事典|ひゃっかじてん|encyclopedia|{{c1::百科事典}}で調べる。
典型的|てんけいてき|typical|{{c1::典型的}}な冬型の気圧配置だ。
展示|てんじ|exhibition|作品はどこに{{c1::展示}}されていますか。
経済発展|けいざいはってん|economic development|めざましい{{c1::経済発展}}を遂げる。
添加物|てんかぶつ|additive|{{c1::添加物}}なしのジュースはおいしい。
添って|そって|to accompany|ひと晩中つき{{c1::添って}}看病した。
北斗星|ほくとせい|Big Dipper|今夜は{{c1::北斗星}}がきれいに見える。
吐息|といき|sigh|美しさに思わず{{c1::吐息}}をもらした。
吐く|はく|to exhale, to breathe out|寒い夜空に白い息を{{c1::吐く}}。
日本刀|にほんとう|Japanese sword|彼は{{c1::日本刀}}を収集している。
刀|かたな|sword|昔の人は{{c1::刀}}を儀式に使った。
大豆|だいず|soybean|{{c1::大豆}}は豆腐の原料だ。
豆腐|とうふ|tofu|{{c1::豆腐}}の味噌汁が好きです。
豆まき|まめまき|bean-throwing (ritual)|節分の日には{{c1::豆まき}}をする。
唐突|とうとつ|abrupt|彼女は{{c1::唐突}}に歌い始めた。
唐草模様|からくさもよう|arabesque pattern|仏像の台に{{c1::唐草模様}}が彫られている。
白桃|はくとう|white peach|{{c1::白桃}}は岡山県の名産品だ。
桃|もも|peach|{{c1::桃}}は冷やすと甘さがよりひき立ちます。
討論|とうろん|debate|激しい{{c1::討論}}を繰り広げる。
討ち取った|うちとった|defeated (enemy)|敵将を{{c1::討ち取った}}。
浸透|しんとう|penetration|環境保護の考えがやっと{{c1::浸透}}してきた。
透かす|すかす|to look through|明かりに{{c1::透かす}}。
哀悼|あいとう|condolence|{{c1::哀悼}}の意を表す。
悼み|いたみ|mourning|死を{{c1::悼み}}、黙とうをささげた。
陶製|とうせい|ceramic|このマグカップは{{c1::陶製}}だ。
陶酔|とうすい|rapture|すばらしい演奏にすっかり{{c1::陶酔}}してしまった。
搭乗口|とうじょうぐち|boarding gate|あなたの{{c1::搭乗口}}は5番です。
搭載|とうさい|equipped with|最新のエンジンを{{c1::搭載}}している。
第三病棟|だいさんびょうとう|third ward|あの患者さんは{{c1::第三病棟}}に入院している。
棟続き|むねつづき|adjoining wings|母屋と{{c1::棟続き}}だ。
人口統計|じんこうとうけい|population statistics|これが1995年の{{c1::人口統計}}です。
大統領|だいとうりょう|president|{{c1::大統領}}は選挙で決まる。
統べ治める|すべおさめる|to govern|国を{{c1::統べ治める}}。
稲|いね|rice plant|{{c1::稲}}には水{{c1::稲}}と陸{{c1::稲}}がある。
水稲|すいとう|wet rice|{{c1::水稲}}は水田で育てる。
陸稲|りくとう|upland rice|{{c1::陸稲}}は水を必要としない。
稲穂|いなほ|ear of rice|秋になって{{c1::稲穂}}が垂れている。
舞踏会|ぶとうかい|ball|{{c1::舞踏会}}に出る。
踏まれた|ふまれた|stepped on|人に足を{{c1::踏まれた}}。
踏まえて|ふまえて|based on|調査結果を{{c1::踏まえて}}リポートをまとめた。
砂糖|さとう|sugar|コーヒーに{{c1::砂糖}}とミルクを入れる。
糖分|とうぶん|sugar content|{{c1::糖分}}を控え目にとる。
戦闘|せんとう|battle|{{c1::戦闘}}に負ける。
闘争|とうそう|struggle|賃上げ{{c1::闘争}}に勝利した。
闘う|たたかう|to fight|病と{{c1::闘う}}。
高騰|こうとう|price surge|物価が{{c1::高騰}}し、市民の生活は苦しくなった。
洞窟|どうくつ|cave|この{{c1::洞窟}}はうす暗い。
洞穴|ほらあな|cavern|{{c1::洞穴}}を掘って身を潜める。
胴上げ|どうあげ|tossing someone in celebration|優勝した監督の{{c1::胴上げ}}が始まった。
峠|とうげ|mountain pass|あの{{c1::峠}}を越えると、故郷の町が見えてくる。
匿名|とくめい|anonymous|寄付金が{{c1::匿名}}で届けられた。
監督|かんとく|supervisor/director|試験の{{c1::監督}}を頼まれた。
督促|とくそく|urging/pressing|返事が遅いので{{c1::督促}}する。
不徳|ふとく|lack of virtue|このような失敗は私の{{c1::不徳}}の致す所だ。
道徳教育|どうとくきょういく|moral education|学校が{{c1::道徳教育}}に力を入れている。
危篤|きとく|critical condition|母が{{c1::危篤}}なので病院に向かった。
豚カツ|とんかつ|pork cutlet|揚げたての{{c1::豚カツ}}はおいしい。
豚肉|ぶたにく|pork|{{c1::豚肉}}を使った料理を作る。
整理整頓|せいりせいとん|tidiness and order|日頃から{{c1::整理整頓}}を心がけている。
丼|どんぶり|rice bowl|ラーメン用の{{c1::丼}}を二つ貸してください。
丼勘定|どんぶりかんじょう|rough accounting|{{c1::丼勘定}}で経営していては危ない。
旦那|だんな|master (of the house)|あの店の{{c1::旦那}}さんは親切です。
謎|なぞ|mystery|ピラミッドには{{c1::謎}}がたくさんある。
撫でて|なでて|stroke|犬の頭をやさしく{{c1::撫でて}}いる。
鍋|なべ|pot|大きな{{c1::鍋}}でカレーを作りましょう。
尼僧|にそう|Buddhist nun|{{c1::尼僧}}の服装は暑そうだった。
尼寺|あまでら|nunnery|京都の{{c1::尼寺}}を訪れた。
匂う|におう|to smell|梅の花が{{c1::匂う}}。
匂いがする|においがする|to have a smell|おいしそうな{{c1::匂いがする}}。
賑わっている|にぎわっている|to be bustling|祭りで街は{{c1::賑わっている}}。
賑やか|にぎやか|lively|商店街はとても{{c1::賑やか}}だ。
尿検査|にょうけんさ|urine test|健康診断で{{c1::尿検査}}を受けた。
睨んでいる|にらんでいる|to glare, to suspect|刑事は彼が犯人だと{{c1::睨んでいる}}。
妊娠|にんしん|pregnancy|妹は{{c1::妊娠}}している。
忍耐力|にんたいりょく|perseverance|成功には強い{{c1::忍耐力}}が必要だ。
忍び込んできた|しのびこんできた|snuck in|泥棒が家に{{c1::忍び込んできた}}。
濡れながら|ぬれながら|while getting wet|雨に{{c1::濡れながら}}帰宅した。
濡らして|ぬらして|to make wet|大事な資料を{{c1::濡らして}}しまった。
丁寧|ていねい|polite|彼はいつも{{c1::丁寧}}な言葉遣いをする。
狙いをつけて|ねらいをつけて|to take aim|{{c1::狙いをつけて}}矢を放った。
粘土遊び|ねんどあそび|clay play|子どもは{{c1::粘土遊び}}が大好きだ。
粘り強い|ねばりづよい|persistent|彼は{{c1::粘り強い}}性格の持ち主だ。
収納|しゅうのう|storage|この部屋には{{c1::収納}}スペースが少ない。
納得|なっとく|understanding, consent|いろいろ考えて{{c1::納得}}した。
納める|おさめる|to pay, to deliver|税金を{{c1::納める}}。
覗き込んだ|のぞきこんだ|peeked in|池を{{c1::覗き込んだ}}。
喉|のど|throat|長い距離を歩いたので、{{c1::喉}}が痛い。
把握|はあく|grasp, understanding|この問題をきちんと{{c1::把握}}していない。
流派|りゅうは|school (of art, etc.)|茶道にはいろいろな{{c1::流派}}がある。
派遣社員|はけんしゃいん|temporary worker|彼女は{{c1::派遣社員}}として働いている。
制覇|せいは|conquest|全国大会を{{c1::制覇}}した。
覇権|はけん|supremacy|{{c1::覇権}}を争う。
肺活量|はいかつりょう|lung capacity|この機械で{{c1::肺活量}}が測れる。
肺炎|はいえん|pneumonia|風邪から{{c1::肺炎}}になることもある。
俳優|はいゆう|actor|彼は有名な{{c1::俳優}}です。
俳句|はいく|haiku|祖母は{{c1::俳句}}を習っている。
排水口|はいすいこう|drain|{{c1::排水口}}から水が流れた。
排出|はいしゅつ|discharge|汚水が大量に{{c1::排出}}された。
廃止|はいし|abolition|その制度は{{c1::廃止}}された。
廃れて|すたれて|become obsolete|一時流行したが今は{{c1::廃れて}}いる。
先輩|せんぱい|senior|彼は私の{{c1::先輩}}です。
梅雨前線|ばいうぜんせん|seasonal rain front|{{c1::梅雨前線}}が北上している。
梅|うめ|plum|庭に{{c1::梅}}の花が咲いた。
栽培|さいばい|cultivation|コーヒーの{{c1::栽培}}で成功した。
培ってきた|つちかってきた|have cultivated|実力を長年{{c1::培ってきた}}。
陪審制度|ばいしんせいど|jury system|日本には{{c1::陪審制度}}がない。
媒酌人|ばいしゃくにん|matchmaker|{{c1::媒酌人}}が二人を紹介した。
情報媒体|じょうほうばいたい|information medium|テレビは最大の{{c1::情報媒体}}だ。
賠償金|ばいしょうきん|compensation money|多額の{{c1::賠償金}}を支払った。
這う|はう|to crawl|赤ちゃんが這い始めた。
Ｋ画伯|けいがはく|Master painter K|その絵は{{c1::Ｋ画伯}}に依頼された。
伯父|おじ|uncle|彼は私の{{c1::伯父}}です。
拍手|はくしゅ|applause|素晴らしい演奏に{{c1::拍手}}が起きた。
手拍子|てびょうし|clapping in rhythm|観客が{{c1::手拍子}}を打った。
迫害|はくがい|persecution|宗教的理由で{{c1::迫害}}された。
迫った|せまった|approached|締切が{{c1::迫った}}。
船舶|せんぱく|vessel|大型の{{c1::船舶}}が港に停泊した。
博識|はくしき|erudition|彼は非常に{{c1::博識}}な人物だ。
賭博|とばく|gambling|{{c1::賭博}}は法律で禁止されている。
砂漠|さばく|desert|ラクダに乗って{{c1::砂漠}}を旅した。
漠然|ばくぜん|vague|将来について{{c1::漠然}}とした不安がある。
束縛|そくばく|restraint|{{c1::束縛}}のない自由な生活がしたい。
縛られた|しばられた|was tied|縄で{{c1::縛られた}}。
箸|はし|chopsticks|{{c1::箸}}を使って食事をする。
手筈|てはず|arrangement|出発の{{c1::手筈}}を整える。
鉢植え|はちうえ|potted plant|{{c1::鉢植え}}に水をやる。
伐採|ばっさい|logging|森林が大量に{{c1::伐採}}された。
処罰|しょばつ|punishment|違反者は{{c1::処罰}}される。
罰|ばつ|penalty|嘘をついて{{c1::罰}}を受けた。
派閥|はばつ|faction|党内の{{c1::派閥}}争いが激しい。
学閥|がくばつ|academic clique|この会社には{{c1::学閥}}がある。
貼る|はる|to stick|ポスターを壁に{{c1::貼る}}。
腫れて|はれて|swollen|虫に刺されて{{c1::腫れて}}いる。
出帆|しゅっぱん|setting sail|船は朝早く{{c1::出帆}}した。
帆|ほ|sail|風を受けて{{c1::帆}}が膨らんだ。
夫婦同伴|ふうふどうはん|accompanied by spouse|パーティーには{{c1::夫婦同伴}}で出席した。
伴奏|ばんそう|musical accompaniment|彼の歌にピアノで{{c1::伴奏}}した。
伴って|ともなって|accompanying|技術の進歩に{{c1::伴って}}生活が変わった。
班|はん|group|各{{c1::班}}に分かれて作業を始めた。
湖畔|こはん|lakeside|{{c1::湖畔}}のホテルに泊まった。
搬入|はんにゅう|carrying in|作品を会場に{{c1::搬入}}する。
運搬|うんぱん|transportation|コンテナにのせて荷物を{{c1::運搬}}する。
煩雑|はんざつ|complicated|手続きが{{c1::煩雑}}でよく分からない。
煩わす|わずらわす|to trouble|人の手を{{c1::煩わす}}。
煩わしい|わずらわしい|troublesome|人間関係が{{c1::煩わしい}}。
頒布|はんぷ|distribution|パンフレットを{{c1::頒布}}した。
模範|もはん|model/example|あの人の行動は皆の{{c1::模範}}だ。
範囲|はんい|scope|試験の{{c1::範囲}}が発表された。
繁栄|はんえい|prosperity|この町は昔から{{c1::繁栄}}している。
繁殖|はんしょく|breeding|カビが{{c1::繁殖}}する。
繁る|しげる|to grow thickly|通りの木々が繁っている。
野蛮|やばん|barbaric|彼は{{c1::野蛮}}な行為をした。
基盤|きばん|foundation|生活の{{c1::基盤}}が失われた。
地盤|じばん|ground/terrain|{{c1::地盤}}がゆるんでいる。
批判|ひはん|criticism|この薬には{{c1::批判}}が多い。
批評|ひひょう|review|私の作品を{{c1::批評}}してください。
結婚披露宴|けっこんひろうえん|wedding reception|友人の{{c1::結婚披露宴}}に招待された。
化学肥料|かがくひりょう|chemical fertilizer|{{c1::化学肥料}}を使った作物は避ける。
肥えて|こえて|to be fertile|ここの土地は良く{{c1::肥えて}}いる。
卑劣|ひれつ|mean/despicable|そういうやり方は{{c1::卑劣}}だ。
卑しい|いやしい|greedy/base|彼は{{c1::卑しい}}人だ。
秘密|ひみつ|secret|隠し場所は{{c1::秘密}}です。
神秘的|しんぴてき|mysterious|彼女の瞳は{{c1::神秘的}}だ。
秘める|ひめる|to hide/harbor|強い決意を胸に{{c1::秘める}}。
門扉|もんぴ|gate door|あの家の{{c1::門扉}}は鉄製だ。
歌碑|かひ|poem monument|山頂に{{c1::歌碑}}を建てる。
罷免|ひめん|dismissal|官僚は{{c1::罷免}}された。
避難|ひなん|evacuation|水害の危険があるので{{c1::避難}}した。
避けている|さけている|avoiding|彼は私に会うのを{{c1::避けている}}。
首尾|しゅび|outcome|この仕事は{{c1::首尾}}よく運んだ。
尾|お|tail|犬が{{c1::尾}}をふって近づいてくる。
微妙|びみょう|subtle|線をなぞっても、{{c1::微妙}}にずれてしまう。
微笑|びしょう|smile|彼女は{{c1::微笑}}を浮かべた。
膝|ひざ|knee|サッカーの試合で{{c1::膝}}をけがしてしまった。
肘掛け|ひじかけ|armrest|革製の{{c1::肘掛け}}椅子が欲しい。
瞳|ひとみ|pupil (of the eye)|フランス人形の{{c1::瞳}}はブルーで美しい。
お姫様|おひめさま|princess|{{c1::お姫様}}のようなドレスを着て、パーティーに行きたい。
紐|ひも|string|小包で送るので箱に{{c1::紐}}をかけてしばる。
土俵入り|どひょういり|ring-entering ceremony|横綱が{{c1::土俵入り}}した。
俵|たわら|straw bag|いなりずしは{{c1::俵}}の形をしている。
投票|とうひょう|voting|国民の権利なので{{c1::投票}}に行くべきだ。
好評|こうひょう|favorable reputation|この映画は{{c1::好評}}らしい。
評判|ひょうばん|reputation|あの店は安いという{{c1::評判}}だ。
漂流|ひょうりゅう|drifting|船員は数日間も{{c1::漂流}}した。
漂っている|ただよっている|floating|クラゲが波に揺られて{{c1::漂っている}}。
標語|ひょうご|slogan|交通安全の{{c1::標語}}を作りましょう。
標準語|ひょうじゅんご|standard language|{{c1::標準語}}と方言はかなりの違いがある。
種苗店|しゅびょうてん|seedling store|{{c1::種苗店}}で苗を購入した。
苗|なえ|seedling|{{c1::苗}}を植える。
描写|びょうしゃ|depiction|なるべく正確に{{c1::描写}}してください。
描く|えがく|to draw|雪山をキャンバスに{{c1::描く}}。
海浜公園|かいひんこうえん|seaside park|{{c1::海浜公園}}へ行った。
浜辺|はまべ|beach|{{c1::浜辺}}でキャンプをしよう。
来賓|らいひん|guest of honor|{{c1::来賓}}の方の御挨拶を頂きましょう。
国賓|こくひん|state guest|{{c1::国賓}}はたいてい迎賓館に宿泊されます。
迎賓館|げいひんかん|guest house|{{c1::迎賓館}}に泊まった。
頻繁|ひんぱん|frequent|{{c1::頻繁}}に足を運ぶ。
頻発|ひんぱつ|frequent occurrence|このカーブでは衝突事故が{{c1::頻発}}している。
出題頻度|しゅつだいひんど|question frequency|{{c1::出題頻度}}が高い。
敏感|びんかん|sensitive|新しい情報に{{c1::敏感}}に反応する。
機敏|きびん|agile|体操選手の{{c1::機敏}}な動きに感心する。
扶養家族|ふようかぞく|dependent family|私の{{c1::扶養家族}}は妻と娘の一人です。
赴任先|ふにんさき|place of assignment|お父さんは単身赴任で{{c1::赴任先}}に行った。
赴いた|おもむいた|headed to|現地に{{c1::赴いた}}。
豆腐|とうふ|tofu|{{c1::豆腐}}は大豆からできています。
腐り|くさり|to rot|梅雨時は食物が{{c1::腐り}}やすい。
座敷|ざしき|tatami room|奥の{{c1::座敷}}の方へどうぞ。
敷地|しきち|site, land|ここがビル建設予定の{{c1::敷地}}です。
敷く|しく|to lay|玄関にマットを{{c1::敷く}}。
月賦|げっぷ|monthly installment|このオーディオセットは高価だったので{{c1::月賦}}で買った。
楽譜|がくふ|music score|{{c1::楽譜}}を見ながらでないと、その曲は弾けません。
侮辱|ぶじょく|insult|彼は{{c1::侮辱}}に憤りを感じた。
侮って|あなどって|to belittle|相手を{{c1::侮って}}はいけない。
無条件降伏|むじょうけんこうふく|unconditional surrender|敵は{{c1::無条件降伏}}した。
伏せて|ふせて|to lie face down/turn over|落ちたコップは、そこに{{c1::伏せて}}おいてください。
